name;zone;lines;is_railstation;latitude;longitude;linked_station;linked_lines
Canary Wharf;2.0;Jubilee,DLR;FALSE;51.5051;-0.0209;;
Canning Town;3.0;Jubilee,DLR;FALSE;51.5147;0.0082;;
Camden Town;2.0;Northern;FALSE;51.5392;-0.1426;;
Heathrow Terminal 4;6.0;Piccadilly;FALSE;51.4598;-0.4476;;
Acton Town;3.0;District,Piccadilly;FALSE;51.5028;-0.2801;;
Alperton;4.0;Piccadilly;FALSE;51.5407;-0.2997;;
Southgate;4.0;Piccadilly;FALSE;51.6322;-0.128;;
Arnos Grove;4.0;Piccadilly;FALSE;51.6164;-0.1331;;
Knightsbridge;1.0;Piccadilly;FALSE;51.5015;-0.1607;;
Ladbroke Grove;2.0;Circle,Hammersmith & City;FALSE;51.5172;-0.2107;;
Kingsbury;4.0;Jubilee;FALSE;51.5846;-0.2786;;
King's Cross St. Pancras;1.0;Circle,Hammersmith & City,Metropolitan,Northern,Piccadilly,Victoria;TRUE;51.5308;-0.1238;;
Kilburn;2.0;Jubilee;FALSE;51.5471;-0.2047;;
Kilburn Park;2.0;Bakerloo;FALSE;51.5351;-0.1939;;
Kenton;4.0;Bakerloo,Overground;FALSE;51.5816;-0.3162;;
Kew Gardens;3.5;District,Overground;FALSE;51.477;-0.285;;
Ravenscourt Park;2.0;District;FALSE;51.4942;-0.2359;;
Queensway;1.0;Central;FALSE;51.5107;-0.1877;;
Lambeth North;1.0;Bakerloo;FALSE;51.4991;-0.1115;;
Lancaster Gate;1.0;Central;FALSE;51.5119;-0.1756;;
East Finchley;3.0;Northern;FALSE;51.5874;-0.165;;
East Acton;2.0;Central;FALSE;51.5168;-0.2474;;
Eastcote;5.0;Metropolitan,Piccadilly;FALSE;51.5765;-0.397;;
Earl's Court;1.5;District,Piccadilly;FALSE;51.492;-0.1973;;
Ealing Common;3.0;District,Piccadilly;FALSE;51.5101;-0.2882;;
Ealing Broadway;3.0;Central,District;TRUE;51.5152;-0.3017;;
Dollis Hill;3.0;Jubilee;FALSE;51.552;-0.2387;;
Devons Road;2.0;DLR;FALSE;51.5223;-0.0173;;
Warwick Avenue;2.0;Bakerloo;FALSE;51.5235;-0.1835;;
East India;2.5;DLR;FALSE;51.5093;-0.0021;;
East Ham;3.5;District,Hammersmith & City;FALSE;51.5394;0.0518;;
Tower Hill;1.0;Circle,District;FALSE;51.5098;-0.0766;Tower Gateway;DLR
High Barnet;5.0;Northern;FALSE;51.6503;-0.1943;;
Totteridge & Whetstone;4.0;Northern;FALSE;51.6302;-0.1791;;
Upton Park;3.0;District,Hammersmith & City;FALSE;51.5352;0.0343;;
Canada Water;2.0;Overground,Jubilee;FALSE;51.4982;-0.0502;;
Tottenham Hale;3.0;Victoria;TRUE;51.5882;-0.0594;;
Upminster;6.0;District;TRUE;51.559;0.251;;
Turnpike Lane;3.0;Piccadilly;FALSE;51.5904;-0.1028;;
Wood Lane;2.0;Circle,Hammersmith & City;FALSE;51.5098;-0.2242;White City;Central
Heathrow Terminal 5;6.0;Piccadilly;FALSE;51.4723;-0.488;;
Langdon Park;2.0;DLR;FALSE;51.5151;-0.0141;;
Stratford International;3.0;DLR;TRUE;51.5448;-0.0086;;
Star Lane;3.0;DLR;FALSE;51.5207;0.0042;;
Abbey Road;3.0;DLR;FALSE;51.532;0.004;;
Stratford High Street;3.0;DLR;FALSE;51.5379;-0.0006;;
Woolwich Arsenal;4.0;DLR;TRUE;51.490;0.069;;
Acton Central;2.0;Overground;FALSE;51.508758;-0.263416;;
Anerley;4.0;Overground;FALSE;51.412517;-0.065123;;
Brockley;2.0;Overground;FALSE;51.46475;-0.037734;;
Brondesbury;2.0;Overground;FALSE;51.545262;-0.202824;;
Brondesbury Park;2.0;Overground;FALSE;51.540325;-0.21046;;
Bushey;8.0;Overground;TRUE;51.645544;-0.384707;;
Caledonian Road & Barnsbury;2.0;Overground;FALSE;51.543285;-0.11519;;
Camden Road;2.0;Overground;FALSE;51.541851;-0.139189;;
Canonbury;2.0;Overground;FALSE;51.548188;-0.09256;;
Carpenders Park;7.0;Overground;FALSE;51.628187;-0.385815;;
Clapham High Street;2.0;Overground;FALSE;51.46547;-0.13245;Clapham North;Northern
Clapham Junction;2.0;Overground;TRUE;51.464367;-0.170301;;
Crouch Hill;3.0;Overground;FALSE;51.571327;-0.117119;;
Crystal Palace;3.5;Overground;TRUE;51.41817;-0.072593;;
Dalston Junction;2.0;Overground;FALSE;51.546094;-0.07498;;
Dalston Kingsland;2.0;Overground;FALSE;51.548668;-0.076213;;
Denmark Hill;2.0;Overground;TRUE;51.468201;-0.090973;;
Finchley Road & Frognal;2.0;Overground;FALSE;51.55012;-0.183637;;
Forest Hill;3.0;Overground;FALSE;51.439308;-0.053314;;
Gospel Oak;2.0;Overground;FALSE;51.555405;-0.151287;;
Hackney Central;2.0;Overground;FALSE;51.547257;-0.055575;;
Hackney Wick;2.0;Overground;FALSE;51.543558;-0.025245;;
Haggerston;2.0;Overground;FALSE;51.538685;-0.075581;;
Hampstead Heath;2.0;Overground;FALSE;51.5552;-0.164552;;
Harringay Green Lanes;3.0;Overground;FALSE;51.577146;-0.098203;;
Hatch End;6.0;Overground;FALSE;51.609829;-0.369164;;
Headstone Lane;5.0;Overground;FALSE;51.6025;-0.356893;;
Homerton;2.0;Overground;FALSE;51.546595;-0.038498;;
